salary,city,company_link,name,person,page_id,company,work,experience,company_field,tag,company_finance,address,date,homepage,company_hope,company_size
[10-25k],杭州市西湖区,www.neitui.me/company/detail/domain=u51.com.html,51信用卡管家,wowar,427800,公司：51信用卡管家 ,Java开发工程狮,[1-3年经验],移动互联网,"16-18薪,全员mac办公,技术大牛",B轮 1亿美元,地点：杭州西斗门路9号,02月15日,http://www.u51.com,,100-500人
[8-18k],杭州市滨江区江南大道3588号恒生大厦,www.neitui.me/company/detail/domain=hundsun.com.html,恒生电子,小鸭,391099,公司：恒生电子研发中心 ,DBA开发工程师,[3-5年经验],移动互联网,"正规社保公积,团队OPEN",已上市 ,地点：杭州,02月15日,http://www.hundsun.com, 全球领先的网络和 IT设备供应商,1000以上
[6-15k],杭州市滨江区江南大道3588号恒生大厦,www.neitui.me/company/detail/domain=hundsun.com.html,恒生电子,小鸭,355517,公司：恒生电子测试中心 ,测试工程师,[1-3年经验],移动互联网,"正规社保公积,团队OPEN",已上市 ,地点：杭州市滨江区江南大道3588号恒生大厦,02月15日,http://www.hundsun.com, 全球领先的网络和 IT设备供应商,1000以上
[7-18k],杭州市滨江区江南大道3588号恒生大厦,www.neitui.me/company/detail/domain=hundsun.com.html,恒生电子,小鸭,391853,公司：恒生电子经纪云发展部 ,IOS软件工程师,[1-3年经验],移动互联网,"正规社保公积,团队OPEN",已上市 ,地点：杭州,02月15日,http://www.hundsun.com, 全球领先的网络和 IT设备供应商,1000以上
[4-8k],北京市海淀区善缘街1号立方庭大厦1-121,www.neitui.me/company/detail/domain=aso.cn.html,爆品商城,爆品商城,444009,公司：爆品商城 ,爆品采购经理,[1-3年经验],电子商务,"期权奖励,节假日福利",天使轮 ,地点：北京市海淀区善缘街1号立方庭大厦1-121,02月15日,http://www.baopin.com, 搭建一个精品平台，汇集全球优秀的产品和人才，传播其精华，从而影响亿万人的生活。,15人以下
[20-30k],北京市海淀区西二旗西路领秀新硅谷2号院35号楼,www.neitui.me/company/detail/domain=lianjia.com.html,链家网,链家网,383136,公司：链家网 ,android研发工程师,[1-3年经验],移动互联网,"免费各种零食,各种娱乐设施",未融资 ,地点：北京市西二旗,02月15日,http://www.lianjia.com, 致力于打造万亿交易额的不动产O2O服务平台,100-500人
[4-8k],北京市海淀区善缘街1号立方庭大厦1-121,www.neitui.me/company/detail/domain=aso.cn.html,爆品商城,爆品商城,444011,公司：爆品商城 ,网店运营,[1-3年经验],电子商务,"期权奖励,节假日福利",天使轮 ,地点：北京市海淀区善缘街1号立方庭大厦1-121,02月15日,http://www.baopin.com, 搭建一个精品平台，汇集全球优秀的产品和人才，传播其精华，从而影响亿万人的生活。,15人以下
[12-20k],上海杨浦区,www.neitui.me/company/detail/domain=whatthehell.cn.html,上海不懂网络科技有限公司,不吃鱼的K_郭,445165,公司：上海不懂网络科技有限公司 ,技术经理,[3-5年经验],移动互联网,"弹性工作,扁平管理,股票期权",天使轮 ,地点：上海市徐汇区中山南二路555号冠霖大楼405室,02月15日,http://www.whatthehell.cn,,15人以下
[5-10k],北京市海淀区善缘街1号立方庭大厦1-121,www.neitui.me/company/detail/domain=aso.cn.html,爆品商城,爆品商城,424461,公司：爆品商城技术部 ,运维工程师,[1-3年经验],电子商务,偏平管理,天使轮 ,地点：北京市海淀区善缘街1号立方庭大厦1-121,02月15日,http://www.baopin.com, 搭建一个精品平台，汇集全球优秀的产品和人才，传播其精华，从而影响亿万人的生活。,15人以下
[8-20k],杭州市滨江区江南大道3588号恒生大厦,www.neitui.me/company/detail/domain=hundsun.com.html,恒生电子,小鸭,444143,公司：恒生电子平台业委会 ,Java开发工程师,[3-5年经验],移动互联网,"正规社保公积,团队OPEN,前景极棒",已上市 ,地点：杭州市滨江区江南大道3588号恒生大厦,02月15日,http://www.hundsun.com, 全球领先的网络和 IT设备供应商,1000以上
[18-27k],"北京,大兴区",www.neitui.me/company/detail/domain=jd.com.html,京东,刘先生,356189,公司：京东金融产品技术部 ,高级Java研发工程师,[5-10年经验],电子商务,"良好的平台,京东",已上市 ,地点：北京市大兴区亦庄经海路,02月15日,http://jd.com," 专业的综合网上购物商城, 为您提供愉悦的网上购物体验!",1000以上
[8-14k],深圳市南山区,www.neitui.me/company/detail/domain=easyhin.com.html,深圳市医信科技有限公司,Fish-Ten,445166,公司：深圳市医信科技有限公司 ,web前端开发工程师,[1-3年经验],移动互联网,"丰盛午餐,妹子多,待遇从优,福利优越",A轮 ,地点：深圳市南山区大冲商务中心1号楼2001室医信科技,02月15日,http://www.easyhin.com/,,50-100人
[20-25k],深圳市高新南六道航盛科技大厦12楼,www.neitui.me/company/detail/domain=chargerlink.com.html,充电网,李小姐,445164,公司：深圳充电网科技有限公司 ,用户体验设计师（UE/UX）,[3-5年经验],移动互联网,"免费食品,五天双休",A轮 ,地点：深圳南山区高新南六道航盛科技大厦12楼,02月15日,http://www.chargerlink.com, 促进汽车能源从燃油到电能的进化,100-500人
[10-20k],北京市海淀区善缘街1号立方庭大厦1-121,www.neitui.me/company/detail/domain=aso.cn.html,爆品商城,爆品商城,413777,公司：爆品商城技术部 ,PHP研发工程师,[1-3年经验],电子商务,偏平管理,天使轮 ,地点：北京市海淀区善缘街1号立方庭大厦1-121,02月15日,http://www.baopin.com, 搭建一个精品平台，汇集全球优秀的产品和人才，传播其精华，从而影响亿万人的生活。,15人以下
